CoC_Number,Total_Year_Round_Beds_ES_TH_SH,Total_Non-DV_Year_Round_Beds_ES_TH_SH,Total_HMIS_Year_Round_Beds_ES_TH_SH,HMIS_Participation_Rate_for_Year_Round_Beds_ES_TH_SH,Total_Year_Round_Beds_ES,Total_Year_Round_Beds_TH,Total_Year_Round_Beds_SH,Total_Units_for_Households_with_Children_ES_TH_SH,Total_Beds_for_Households_with_Children_ES_TH_SH,Total_Beds_for_Households_without_Children_ES_TH_SH,Total_Beds_for_Households_with_only_Children_ES_TH_SH,Total_Non-DV_Year_Round_Beds_ES,Total_HMIS_Year_Round_Beds_ES,HMIS_Participation_Rate_for_Year_Round_Beds_ES,Total_Seasonal_Beds_ES,Total_Overflow_Beds_ES,Total_Units_for_Households_with_Children_ES,Total_Beds_for_Households_with_Children_ES,Total_Beds_for_Households_without_Children_ES,Total_Beds_for_Households_with_only_Children_ES,Total_Non-DV_Year_Round_Beds_TH,Total_HMIS_Year_Round_Beds_TH,HMIS_Participation_Rate_for_Year_Round_Beds_TH,Total_Units_for_Households_with_Children_TH,Total_Beds_for_Households_with_Children_TH,Total_Beds_for_Households_without_Children_TH,Total_Beds_for_Households_with_only_Children_TH,Total_Non-DV_Year_Round_Beds_SH,Total_HMIS_Year_Round_Beds_SH,HMIS_Participation_Rate_for_Year_Round_Beds_SH,Total_Units_for_Households_with_Children_SH,Total_Beds_for_Households_with_Children_SH,Total_Beds_for_Households_without_Children_SH,Total_Beds_for_Households_with_only_Children_SH,Total_Year_Round_Beds_RRH_AND_DEM,Total_Non-DV_Year_Round_Beds_RRH_AND_DEM,Total_HMIS_Year_Round_Beds_RRH_AND_DEM,HMIS_Participation_Rate_for_Year_Round_Beds_RRH_AND_DEM,Total_Units_for_Households_with_Children_RRH_AND_DEM,Total_Beds_for_Households_with_Children_RRH_AND_DEM,Total_Beds_for_Households_without_Children_RRH_AND_DEM,Total_Beds_for_Households_with_only_Children_RRH_AND_DEM,Total_Year_Round_Beds_RRH,Total_Non-DV_Year_Round_Beds_RRH,Total_HMIS_Year_Round_Beds_RRH,HMIS_Participation_Rate_for_Year_Round_Beds_RRH,Total_Units_for_Households_with_Children_RRH,Total_Beds_for_Households_with_Children_RRH,Total_Beds_for_Households_without_Children_RRH,Total_Beds_for_Households_with_only_Children_RRH,Total_Year_Round_Beds_DEM,Total_Non-DV_Year_Round_Beds_DEM,Total_HMIS_Year_Round_Beds_DEM,HMIS_Participation_Rate_for_Year_Round_Beds_DEM,Total_Units_for_Households_with_Children_DEM,Total_Beds_for_Households_with_Children_DEM,Total_Beds_for_Households_without_Children_DEM,Total_Beds_for_Households_with_only_Children_DEM,Total_Year_Round_Beds_PSH,Total_Non-DV_Year_Round_Beds_PSH,Total_HMIS_Year_Round_Beds_PSH,HMIS_Participation_Rate_for_Year_Round_Beds_PSH,Total_Units_for_Households_with_Children_PSH,Total_Beds_for_Households_with_Children_PSH,Total_Beds_for_Households_without_Children_PSH,Total_Beds_for_Households_with_only_Children_PSH,Total_Year_Round_Beds_OPH,Total_Non-DV_Year_Round_Beds_OPH,Total_HMIS_Year_Round_Beds_OPH,HMIS_Participation_Rate_for_Year_Round_Beds_OPH,Total_Units_for_Households_with_Children_OPH,Total_Beds_for_Households_with_Children_OPH,Total_Beds_for_Households_without_Children_OPH,Total_Beds_for_Households_with_only_Children_OPH
OH-502,1838,1798,1351,0.735,1204,614,20,106,370,1468,0,1164,742,0.6163,0,49,92,324,880,0,614,589,0.9593,14,46,568,0,20,20,1,0,0,20,0,684,684,684,1,205,546,138,0,684,684,684,1,205,546,138,0,0,0,0,.,0,0,0,0,4358,4358,3808,0.8738,722,1937,2421,0,0,0,0,.,0,0,0,0
OH-503,1074,1040,1040,0.9683,933,141,0,66,211,847,16,899,899,0.9636,236,230,61,199,718,16,141,141,1,5,12,129,0,0,0,.,0,0,0,0,493,493,493,1,120,435,58,0,422,422,422,1,97,364,58,0,71,71,71,1,23,71,0,0,2368,2368,2013,0.8501,161,522,1846,0,0,0,0,.,0,0,0,0
OH-504,288,272,272,0.9444,180,108,0,48,141,137,10,164,164,0.9111,0,30,27,66,104,10,108,108,1,21,75,33,0,0,0,.,0,0,0,0,71,71,71,1,19,50,21,0,71,71,71,1,19,50,21,0,0,0,0,.,0,0,0,0,340,340,340,1,78,252,88,0,0,0,0,.,0,0,0,0
OH-505,747,681,656,0.8782,487,260,0,93,264,481,2,429,404,0.8296,0,60,54,164,321,2,252,252,0.9692,39,100,160,0,0,0,.,0,0,0,0,108,93,93,0.8611,30,90,18,0,58,43,43,0.7414,11,40,18,0,50,50,50,1,19,50,0,0,1045,1020,850,0.8134,138,335,710,0,0,0,0,.,0,0,0,0
OH-506,614,549,502,0.8176,282,303,29,80,252,336,26,257,251,0.8901,0,86,33,99,162,21,263,233,0.769,47,153,145,5,29,18,0.6207,0,0,29,0,162,133,122,0.7531,33,120,42,0,162,133,122,0.7531,33,120,42,0,0,0,0,.,0,0,0,0,481,481,390,0.8108,38,114,367,0,0,0,0,.,0,0,0,0
OH-507,3594,2887,2304,0.6411,2163,1421,10,632,1896,1678,20,1611,1277,0.5904,151,159,358,1100,1043,20,1266,1017,0.7157,274,796,625,0,10,10,1,0,0,10,0,715,715,715,1,193,577,138,0,669,669,669,1,175,531,138,0,46,46,46,1,18,46,0,0,3218,3128,2677,0.8319,552,1554,1664,0,0,0,0,.,0,0,0,0
OH-508,437,351,351,0.8032,249,168,20,103,280,157,0,180,180,0.7229,0,24,50,140,109,0,151,151,0.8988,53,140,28,0,20,20,1,0,0,20,0,28,28,28,1,5,16,12,0,28,28,28,1,5,16,12,0,0,0,0,.,0,0,0,0,475,475,428,0.9011,60,143,332,0,0,0,0,.,0,0,0,0
OK-500,245,134,95,0.3878,130,115,0,51,140,105,0,58,41,0.3154,0,26,29,75,55,0,76,54,0.4696,22,65,50,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,8,8,7,0.875,1,3,5,0,0,0,0,.,0,0,0,0
OK-501,826,692,664,0.8039,533,268,25,91,328,488,10,428,428,0.803,0,103,57,186,337,10,239,211,0.7873,34,142,126,0,25,25,1,0,0,25,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,460,460,287,0.6239,7,26,434,0,0,0,0,.,0,0,0,0
OK-502,1377,1302,1185,0.8606,1134,243,0,87,284,1093,0,1079,1050,0.9259,0,32,57,188,946,0,223,135,0.5556,30,96,147,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,767,767,490,0.6389,48,189,578,0,0,0,0,.,0,0,0,0
OK-503,154,93,13,0.0844,117,37,0,26,121,33,0,68,0,0,0,0,11,84,33,0,25,13,0.3514,15,37,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,53,47,47,0.8868,22,46,7,0,0,0,0,.,0,0,0,0
OK-504,79,63,51,0.6456,48,31,0,13,33,46,0,32,32,0.6667,60,6,6,14,34,0,31,19,0.6129,7,19,12,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,99,99,96,0.9697,32,61,38,0,0,0,0,.,0,0,0,0
OK-505,426,321,147,0.3451,374,52,0,54,161,239,26,269,103,0.2754,0,0,51,153,195,26,52,44,0.8462,3,8,44,0,0,0,.,0,0,0,0,4,4,0,0,1,3,1,0,4,4,0,0,1,3,1,0,0,0,0,.,0,0,0,0,63,47,35,0.5556,5,16,47,0,10,10,0,0,1,3,7,0
OK-506,311,220,138,0.4437,239,72,0,27,171,130,10,148,95,0.3975,0,15,16,134,95,10,72,43,0.5972,11,37,35,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,9,9,9,1,0,0,9,0,0,0,0,.,0,0,0,0
OK-507,386,231,69,0.1788,358,28,0,51,128,218,40,203,69,0.1927,0,11,50,125,193,40,28,0,0,1,3,25,0,0,0,.,0,0,0,0,100,100,100,1,11,40,60,0,100,100,100,1,11,40,60,0,0,0,0,.,0,0,0,0,58,58,36,0.6207,13,34,24,0,0,0,0,.,0,0,0,0
OR-500,583,552,552,0.9468,479,104,0,39,132,441,10,448,448,0.9353,30,300,15,60,411,8,104,104,1,24,72,30,2,0,0,.,0,0,0,0,229,223,223,0.9738,55,173,56,0,229,223,223,0.9738,55,173,56,0,0,0,0,.,0,0,0,0,537,537,297,0.5531,53,144,393,0,0,0,0,.,0,0,0,0
OR-501,1672,1535,1318,0.7883,521,1151,0,154,453,1203,16,419,315,0.6046,322,26,43,127,382,12,1116,1003,0.8714,111,326,821,4,0,0,.,0,0,0,0,855,662,652,0.7626,221,695,160,0,726,533,532,0.7328,181,566,160,0,129,129,120,0.9302,40,129,0,0,3663,3612,2890,0.789,383,1158,2505,0,0,0,0,.,0,0,0,0
OR-502,462,431,143,0.3095,216,246,0,37,141,321,0,185,16,0.0741,25,0,16,89,127,0,246,127,0.5163,21,52,194,0,0,0,.,0,0,0,0,42,42,39,0.9286,8,28,14,0,42,42,39,0.9286,8,28,14,0,0,0,0,.,0,0,0,0,419,419,157,0.3747,166,252,167,0,0,0,0,.,0,0,0,0
OR-503,251,223,157,0.6255,173,78,0,17,58,165,28,145,127,0.7341,12,10,17,58,111,4,78,30,0.3846,0,0,54,24,0,0,.,0,0,0,0,164,164,164,1,53,164,0,0,164,164,164,1,53,164,0,0,0,0,0,.,0,0,0,0,113,113,20,0.177,12,24,89,0,0,0,0,.,0,0,0,0
OR-505,2811,2587,803,0.2857,1533,1278,0,857,1500,1247,64,1421,232,0.1513,65,94,482,766,726,41,1166,571,0.4468,375,734,521,23,0,0,.,0,0,0,0,360,360,360,1,82,216,144,0,360,360,360,1,82,216,144,0,0,0,0,.,0,0,0,0,446,440,348,0.7803,107,237,209,0,79,79,79,1,17,62,17,0
OR-506,235,211,205,0.8723,96,129,10,33,125,109,1,72,72,0.75,1,0,23,89,6,1,129,123,0.9535,10,36,93,0,10,10,1,0,0,10,0,243,243,243,1,71,218,25,0,243,243,243,1,71,218,25,0,0,0,0,.,0,0,0,0,427,427,427,1,44,125,302,0,0,0,0,.,0,0,0,0
OR-507,130,97,97,0.7462,44,86,0,40,113,17,0,16,16,0.3636,99,0,14,40,4,0,81,81,0.9419,26,73,13,0,0,0,.,0,0,0,0,107,107,107,1,27,97,10,0,107,107,107,1,27,97,10,0,0,0,0,.,0,0,0,0,284,277,277,0.9754,58,170,114,0,0,0,0,.,0,0,0,0
PA-500,5737,5440,4495,0.7835,3666,1956,115,968,3049,2668,20,3466,2762,0.7534,353,135,484,1655,1991,20,1859,1663,0.8502,484,1394,562,0,115,70,0.6087,0,0,115,0,931,931,931,1,147,544,387,0,931,931,931,1,147,544,387,0,0,0,0,.,0,0,0,0,4908,4908,4239,0.8637,741,2554,2354,0,900,900,900,1,300,900,0,0
PA-501,443,417,324,0.7314,198,220,25,81,247,196,0,180,99,0.5,33,15,30,88,110,0,212,200,0.9091,51,159,61,0,25,25,1,0,0,25,0,13,13,9,0.6923,3,4,9,0,13,13,9,0.6923,3,4,9,0,0,0,0,.,0,0,0,0,177,177,104,0.5876,17,50,127,0,20,20,20,1,0,0,20,0
PA-502,445,422,363,0.8157,343,102,0,81,227,218,0,320,284,0.828,0,27,57,162,181,0,102,79,0.7745,24,65,37,0,0,0,.,0,0,0,0,79,79,79,1,19,59,20,0,79,79,79,1,19,59,20,0,0,0,0,.,0,0,0,0,372,372,314,0.8441,50,142,230,0,0,0,0,.,0,0,0,0
PA-503,206,160,159,0.7718,87,119,0,33,100,106,0,65,65,0.7471,20,43,12,31,56,0,95,94,0.7899,21,69,50,0,0,0,.,0,0,0,0,61,61,61,1,11,39,22,0,61,61,61,1,11,39,22,0,0,0,0,.,0,0,0,0,328,328,272,0.8293,66,210,118,0,0,0,0,.,0,0,0,0
PA-504,448,404,390,0.8705,196,252,0,81,298,150,0,169,155,0.7908,69,20,30,121,75,0,235,235,0.9325,51,177,75,0,0,0,.,0,0,0,0,269,269,269,1,52,174,95,0,269,269,269,1,52,174,95,0,0,0,0,.,0,0,0,0,215,215,215,1,27,72,143,0,0,0,0,.,0,0,0,0
PA-505,913,808,808,0.885,518,395,0,115,358,555,0,493,493,0.9517,11,0,70,225,293,0,315,315,0.7975,45,133,262,0,0,0,.,0,0,0,0,425,425,425,1,106,331,94,0,425,425,425,1,106,331,94,0,0,0,0,.,0,0,0,0,1598,1598,650,0.4068,188,649,949,0,0,0,0,.,0,0,0,0
PA-506,539,425,413,0.7662,207,332,0,79,267,272,0,157,157,0.7585,100,0,20,95,112,0,268,256,0.7711,59,172,160,0,0,0,.,0,0,0,0,36,36,36,1,0,0,36,0,36,36,36,1,0,0,36,0,0,0,0,.,0,0,0,0,342,342,302,0.883,49,159,183,0,31,31,31,1,0,0,31,0
PA-508,215,194,194,0.9023,49,162,4,35,114,101,0,42,42,0.8571,24,10,7,20,29,0,148,148,0.9136,28,94,68,0,4,4,1,0,0,4,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,125,125,125,1,18,66,59,0,0,0,0,.,0,0,0,0
PA-509,2559,2051,1369,0.535,1303,1256,0,469,1639,896,24,957,554,0.4252,196,37,187,747,534,22,1094,815,0.6489,282,892,362,2,0,0,.,0,0,0,0,302,302,292,0.9669,44,157,145,0,302,302,292,0.9669,44,157,145,0,0,0,0,.,0,0,0,0,1299,1299,894,0.6882,170,502,797,0,0,0,0,.,0,0,0,0
PA-510,471,410,405,0.8599,196,275,0,103,288,183,0,158,158,0.8061,50,0,35,120,76,0,252,247,0.8982,68,168,107,0,0,0,.,0,0,0,0,22,22,22,1,7,22,0,0,22,22,22,1,7,22,0,0,0,0,0,.,0,0,0,0,178,178,178,1,16,52,126,0,0,0,0,.,0,0,0,0
PA-511,456,437,423,0.9276,108,348,0,110,364,88,4,94,86,0.7963,83,0,8,64,40,4,343,337,0.9684,102,300,48,0,0,0,.,0,0,0,0,53,53,17,0.3208,7,24,29,0,53,53,17,0.3208,7,24,29,0,0,0,0,.,0,0,0,0,77,77,67,0.8701,6,21,56,0,0,0,0,.,0,0,0,0
PA-512,355,265,265,0.7465,187,168,0,54,192,163,0,148,148,0.7914,0,6,30,104,83,0,117,117,0.6964,24,88,80,0,0,0,.,0,0,0,0,39,39,39,1,8,32,7,0,39,39,39,1,8,32,7,0,0,0,0,.,0,0,0,0,226,226,221,0.9779,13,48,178,0,0,0,0,.,0,0,0,0
PA-600,1456,1327,1274,0.875,423,962,71,238,614,842,0,344,291,0.6879,113,0,58,163,260,0,912,912,0.948,180,451,511,0,71,71,1,0,0,71,0,176,176,176,1,42,132,44,0,108,108,108,1,21,64,44,0,68,68,68,1,21,68,0,0,2136,2136,1579,0.7392,488,1403,733,0,40,40,40,1,0,0,40,0
PA-601,1335,998,724,0.5423,668,614,53,207,657,671,7,440,229,0.3428,23,24,92,263,405,0,505,442,0.7199,115,394,213,7,53,53,1,0,0,53,0,196,196,196,1,29,87,109,0,196,196,196,1,29,87,109,0,0,0,0,.,0,0,0,0,1056,979,782,0.7405,160,445,611,0,0,0,0,.,0,0,0,0
PA-603,130,96,96,0.7385,70,60,0,24,69,61,0,46,46,0.6571,0,0,14,39,31,0,50,50,0.8333,10,30,30,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,108,108,108,1,25,41,67,0,0,0,0,.,0,0,0,0
PA-605,432,375,375,0.8681,233,199,0,76,216,216,0,176,176,0.7554,60,0,27,97,136,0,199,199,1,49,119,80,0,0,0,.,0,0,0,0,2,2,2,1,0,0,2,0,2,2,2,1,0,0,2,0,0,0,0,.,0,0,0,0,465,465,337,0.7247,78,251,214,0,96,96,96,1,0,0,96,0
PR-502,1270,1034,1031,0.8118,265,983,22,109,403,831,36,192,192,0.7245,0,0,15,53,176,36,820,817,0.8311,94,350,633,0,22,22,1,0,0,22,0,117,117,117,1,20,68,49,0,117,117,117,1,20,68,49,0,0,0,0,.,0,0,0,0,1303,1259,1259,0.9662,131,400,903,0,258,258,258,1,0,0,258,0
PR-503,842,637,634,0.753,381,408,53,99,319,523,0,314,311,0.8163,0,0,12,71,310,0,270,270,0.6618,87,248,160,0,53,53,1,0,0,53,0,155,155,0,0,14,50,105,0,155,155,0,0,14,50,105,0,0,0,0,.,0,0,0,0,418,333,295,0.7057,78,163,255,0,26,26,26,1,3,9,17,0
RI-500,1142,1008,872,0.7636,705,437,0,202,557,585,0,617,497,0.705,148,38,93,282,423,0,391,375,0.8581,109,275,162,0,0,0,.,0,0,0,0,373,373,373,1,65,223,150,0,373,373,373,1,65,223,150,0,0,0,0,.,0,0,0,0,1506,1506,1411,0.9369,240,678,828,0,118,118,118,1,25,68,50,0
SC-500,417,363,268,0.6427,181,236,0,22,98,319,0,145,126,0.6961,50,0,6,60,121,0,218,142,0.6017,16,38,198,0,0,0,.,0,0,0,0,183,163,86,0.4699,18,45,138,0,183,163,86,0.4699,18,45,138,0,0,0,0,.,0,0,0,0,291,291,53,0.1821,0,0,291,0,0,0,0,.,0,0,0,0
SC-501,1761,1558,727,0.4128,798,951,12,150,772,981,8,636,218,0.2732,164,19,21,359,439,0,910,497,0.5226,129,413,530,8,12,12,1,0,0,12,0,82,82,82,1,16,55,27,0,82,82,82,1,16,55,27,0,0,0,0,.,0,0,0,0,369,369,246,0.6667,27,68,301,0,0,0,0,.,0,0,0,0
SC-502,1107,965,743,0.6712,502,605,0,143,386,717,4,375,317,0.6315,240,40,50,157,341,4,590,426,0.7041,93,229,376,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,848,804,794,0.9363,205,380,468,0,104,75,0,0,35,104,0,0
SC-503,470,417,337,0.717,195,275,0,56,168,293,9,158,78,0.4,0,17,24,82,104,9,259,259,0.9418,32,86,189,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,468,468,345,0.7372,58,184,284,0,0,0,0,.,0,0,0,0
SD-500,1460,1047,663,0.4541,1112,348,0,355,823,577,60,717,349,0.3138,0,114,224,599,471,42,336,314,0.9023,131,224,106,18,0,0,.,0,0,0,0,80,31,31,0.3875,36,61,19,0,80,31,31,0.3875,36,61,19,0,0,0,0,.,0,0,0,0,621,621,517,0.8325,184,293,328,0,0,0,0,.,0,0,0,0
TN-500,321,279,271,0.8442,193,128,0,64,176,145,0,183,183,0.9482,160,20,26,74,119,0,96,88,0.6875,38,102,26,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,582,563,469,0.8058,109,395,187,0,0,0,0,.,0,0,0,0
TN-501,1626,1570,1471,0.9047,500,1126,0,183,580,1038,8,473,448,0.896,34,200,44,174,318,8,1097,1023,0.9085,139,406,720,0,0,0,.,0,0,0,0,253,253,253,1,69,170,83,0,253,253,253,1,69,170,83,0,0,0,0,.,0,0,0,0,1130,1130,490,0.4336,188,462,668,0,0,0,0,.,0,0,0,0
TN-502,778,743,665,0.8548,463,315,0,36,102,676,0,443,439,0.9482,0,0,20,60,403,0,300,226,0.7175,16,42,273,0,0,0,.,0,0,0,0,219,219,218,0.9954,67,203,16,0,219,219,218,0.9954,67,203,16,0,0,0,0,.,0,0,0,0,374,374,246,0.6578,35,97,277,0,13,0,0,0,3,9,4,0
TN-503,293,209,209,0.7133,178,115,0,9,59,234,0,94,94,0.5281,0,0,8,56,122,0,115,115,1,1,3,112,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,190,190,179,0.9421,18,59,131,0,0,0,0,.,0,0,0,0
TN-504,2210,2128,369,0.167,1619,583,8,117,490,1720,0,1558,16,0.0099,0,0,60,300,1319,0,562,345,0.5918,57,190,393,0,8,8,1,0,0,8,0,108,108,77,0.713,18,104,4,0,108,108,77,0.713,18,104,4,0,0,0,0,.,0,0,0,0,1350,1350,875,0.6481,290,649,701,0,0,0,0,.,0,0,0,0
TN-506,246,187,62,0.252,134,112,0,46,124,122,0,94,6,0.0448,12,4,15,45,89,0,93,56,0.5,31,79,33,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,109,109,109,1,35,85,24,0,28,28,8,0.2857,9,28,0,0
TN-507,213,188,51,0.2394,137,68,8,33,101,112,0,127,40,0.292,0,1,24,66,71,0,53,3,0.0441,9,35,33,0,8,8,1,0,0,8,0,64,64,64,1,16,54,10,0,64,64,64,1,16,54,10,0,0,0,0,.,0,0,0,0,326,326,301,0.9233,50,153,173,0,0,0,0,.,0,0,0,0
TN-509,523,451,236,0.4512,380,143,0,27,193,328,2,308,127,0.3342,38,49,14,141,237,2,143,109,0.7622,13,52,91,0,0,0,.,0,0,0,0,37,37,37,1,6,14,23,0,37,37,37,1,6,14,23,0,0,0,0,.,0,0,0,0,514,474,317,0.6167,52,161,353,0,0,0,0,.,0,0,0,0
TN-510,185,138,77,0.4162,149,36,0,23,87,98,0,110,59,0.396,25,0,20,70,79,0,28,18,0.5,3,17,19,0,0,0,.,0,0,0,0,6,6,6,1,0,0,6,0,6,6,6,1,0,0,6,0,0,0,0,.,0,0,0,0,159,159,83,0.522,30,87,72,0,58,56,24,0.4138,7,19,39,0
TN-512,586,458,94,0.1604,484,102,0,290,472,114,0,388,67,0.1384,10,0,279,424,60,0,70,27,0.2647,11,48,54,0,0,0,.,0,0,0,0,53,53,53,1,53,53,0,0,53,53,53,1,53,53,0,0,0,0,0,.,0,0,0,0,66,66,31,0.4697,55,66,0,0,0,0,0,.,0,0,0,0
TX-500,2305,2099,2019,0.8759,1380,881,44,302,1134,1156,15,1250,1250,0.9058,0,43,127,542,823,15,805,725,0.8229,175,592,289,0,44,44,1,0,0,44,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,2042,2042,2040,0.999,901,1440,602,0,86,86,86,1,0,0,86,0
TX-503,1178,908,908,0.7708,787,375,16,180,567,611,0,681,681,0.8653,0,25,76,256,531,0,211,211,0.5627,104,311,64,0,16,16,1,0,0,16,0,115,115,115,1,24,73,42,0,70,70,70,1,9,28,42,0,45,45,45,1,15,45,0,0,1030,1014,585,0.568,89,297,733,0,102,102,102,1,34,102,0,0
TX-600,3600,3060,738,0.205,2372,1203,25,407,1526,2054,20,2110,92,0.0388,0,150,158,660,1692,20,925,621,0.5162,249,866,337,0,25,25,1,0,0,25,0,87,84,84,0.9655,10,33,54,0,87,84,84,0.9655,10,33,54,0,0,0,0,.,0,0,0,0,3138,3138,2126,0.6775,442,1327,1811,0,0,0,0,.,0,0,0,0
TX-601,1783,1521,1220,0.6842,1265,498,20,210,718,1049,16,1101,800,0.6324,68,171,92,371,878,16,400,400,0.8032,118,347,151,0,20,20,1,0,0,20,0,772,643,643,0.8329,209,574,198,0,772,643,643,0.8329,209,574,198,0,0,0,0,.,0,0,0,0,1763,1741,1720,0.9756,192,515,1248,0,250,250,22,0.088,28,78,172,0
TX-603,1260,1159,749,0.5944,714,526,20,159,618,635,7,628,387,0.542,0,45,41,227,480,7,511,362,0.6882,118,391,135,0,20,0,0,0,0,20,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,72,72,72,1,3,10,62,0,0,0,0,.,0,0,0,0
TX-604,244,171,150,0.6148,109,132,3,36,138,106,0,54,54,0.4954,0,50,14,50,59,0,114,96,0.7273,22,88,44,0,3,0,0,0,0,3,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,101,88,28,0.2772,5,9,92,0,0,0,0,.,0,0,0,0
TX-607,6092,3728,2125,0.3488,4490,1602,0,871,3132,2811,149,2761,1542,0.3434,0,299,504,1938,2429,123,968,583,0.3639,367,1194,382,26,0,0,.,0,0,0,0,430,143,72,0.1674,107,316,106,8,430,143,72,0.1674,107,316,106,8,0,0,0,.,0,0,0,0,970,970,301,0.3103,122,358,612,0,0,0,0,.,0,0,0,0
TX-611,612,588,588,0.9608,543,69,0,72,261,351,0,519,519,0.9558,0,21,54,199,344,0,69,69,1,18,62,7,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,150,150,150,1,94,109,41,0,0,0,0,.,0,0,0,0
TX-624,438,349,347,0.7922,402,36,0,10,160,244,34,313,311,0.7736,0,0,9,144,224,34,36,36,1,1,16,20,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,20,20,20,1,0,0,20,0,0,0,0,.,0,0,0,0
TX-700,3067,2513,2473,0.8063,1169,1898,0,369,1370,1675,22,1032,1032,0.8828,9,150,119,512,635,22,1481,1441,0.7592,250,858,1040,0,0,0,.,0,0,0,0,655,624,624,0.9527,454,464,191,0,655,624,624,0.9527,454,464,191,0,0,0,0,.,0,0,0,0,3772,3520,2338,0.6198,1491,2239,1533,0,0,0,0,.,0,0,0,0
TX-701,233,176,160,0.6867,151,82,0,35,72,161,0,106,106,0.702,12,0,22,46,105,0,70,54,0.6585,13,26,56,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0
UT-500,1820,1545,1388,0.7626,1047,749,24,193,644,1175,1,869,766,0.7316,445,21,79,280,766,1,652,598,0.7984,114,364,385,0,24,24,1,0,0,24,0,334,334,334,1,68,246,88,0,334,334,334,1,68,246,88,0,0,0,0,.,0,0,0,0,1987,1987,1739,0.8752,298,958,1029,0,0,0,0,.,0,0,0,0
UT-503,761,326,262,0.3443,559,202,0,136,429,332,0,295,231,0.4132,0,0,78,259,300,0,31,31,0.1535,58,170,32,0,0,0,.,0,0,0,0,284,284,282,0.993,68,229,55,0,284,284,282,0.993,68,229,55,0,0,0,0,.,0,0,0,0,218,218,159,0.7294,16,46,172,0,0,0,0,.,0,0,0,0
UT-504,179,115,115,0.6425,91,88,0,38,124,47,8,55,55,0.6044,0,3,20,66,17,8,60,60,0.6818,18,58,30,0,0,0,.,0,0,0,0,19,19,19,1,6,19,0,0,19,19,19,1,6,19,0,0,0,0,0,.,0,0,0,0,198,192,188,0.9495,37,96,102,0,2,2,2,1,0,0,2,0
VA-500,718,673,614,0.8552,334,368,16,60,200,518,0,302,266,0.7964,0,108,26,106,228,0,355,332,0.9022,34,94,274,0,16,16,1,0,0,16,0,356,309,307,0.8624,88,291,65,0,356,309,307,0.8624,88,291,65,0,0,0,0,.,0,0,0,0,823,823,480,0.5832,115,343,480,0,0,0,0,.,0,0,0,0
VA-501,464,379,210,0.4526,277,187,0,58,220,244,0,225,79,0.2852,182,116,27,106,171,0,154,131,0.7005,31,114,73,0,0,0,.,0,0,0,0,133,88,40,0.3008,40,114,19,0,133,88,40,0.3008,40,114,19,0,0,0,0,.,0,0,0,0,632,632,335,0.5301,96,369,263,0,97,97,69,0.7113,0,0,97,0
VA-502,516,420,410,0.7946,504,12,0,31,164,352,0,408,398,0.7897,0,2,31,164,340,0,12,12,1,0,0,12,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,121,121,109,0.9008,20,68,53,0,0,0,0,.,0,0,0,0
