CoC_Number,CoC_Name,Overall_Homeless,Sheltered_ES_Homeless,Sheltered_TH_Homeless,Sheltered_Total_Homeless,Unsheltered_Homeless,Overall_Homeless_Individuals,Sheltered_ES_Homeless_Individuals,Sheltered_TH_Homeless_Individuals,Sheltered_Total_Homeless_Individuals,Unsheltered_Homeless_Individuals,Overall_Homeless_People_in_Families,Sheltered_ES_Homeless_People_in_Families,Sheltered_TH_Homeless_People_in_Families,Sheltered_Total_Homeless_People_in_Families,Unsheltered_Homeless_People_in_Families,Overall_Homeless_Family_Households,Sheltered_ES_Homeless_Family_Households,Sheltered_TH_Homeless_Family_Households,Sheltered_Total_Homeless_Family_Households,Unsheltered_Homeless_Family_Households,Overall_Chronically_Homeless_Individuals,Sheltered_Total_Chronically_Homeless_Individuals,Unsheltered_Chronically_Homeless_Individuals
IL-506,"Joliet, Bolingbrook/Will County CoC",309,136,163,299,10,158,98,50,148,10,151,38,113,151,0,52,16,36,52,0,50,50,0
IL-507,"Peoria, Pekin/Fulton, Tazewell, Peoria, Woodford Counties CoC",350,126,216,342,8,202,110,84,194,8,148,16,132,148,0,44,5,39,44,0,65,65,0
IL-508,"East St. Louis, Belleville/St. Clair County CoC",670,90,128,218,452,306,58,28,86,220,364,32,100,132,232,98,10,36,46,52,59,12,47
IL-510,Chicago CoC,5979,2078,2268,4346,1633,3927,1664,695,2359,1568,2052,414,1573,1987,65,598,119,457,576,22,1018,334,684
IL-511,Cook County CoC,1420,512,650,1162,258,721,342,130,472,249,699,170,520,690,9,328,64,261,325,3,256,160,96
IL-512,Bloomington/Central Illinois CoC,467,241,158,399,68,228,156,29,185,43,239,85,129,214,25,73,27,40,67,6,57,44,13
IL-513,Springfield/Sangamon County CoC,235,150,78,228,7,216,131,78,209,7,19,19,0,19,0,6,6,0,6,0,101,95,6
IL-514,DuPage County CoC,766,190,452,642,124,380,142,136,278,102,386,48,316,364,22,131,18,105,123,8,173,71,102
IL-515,South Central Illinois CoC,270,132,103,235,35,45,26,8,34,11,225,106,95,201,24,65,33,25,58,7,5,4,1
IL-516,Decatur/Macon County CoC,347,94,73,167,180,124,52,13,65,59,223,42,60,102,121,73,14,23,37,36,34,21,13
IL-517,"Aurora, Elgin/Kane County CoC",474,275,143,418,56,356,224,76,300,56,118,51,67,118,0,36,16,20,36,0,245,212,33
IL-518,"Rock Island, Moline/Northwestern Illinois CoC",352,125,143,268,84,158,55,49,104,54,194,70,94,164,30,66,20,35,55,11,18,11,7
IL-519,West Central Illinois CoC,229,32,67,99,130,168,25,22,47,121,61,7,45,52,9,24,3,18,21,3,17,6,11
IL-520,Southern Illinois CoC,870,562,234,796,74,416,276,82,358,58,454,286,152,438,16,123,83,34,117,6,159,113,46
IN-502,Indiana Balance of State CoC,5904,2388,2171,4559,1345,3812,1651,968,2619,1193,2092,737,1203,1940,152,691,249,401,650,41,575,162,413
IN-503,Indianapolis CoC,1491,739,625,1364,127,1125,575,423,998,127,366,164,202,366,0,124,55,69,124,0,121,87,34
KS-502,Wichita/Sedgwick County CoC,473,331,114,445,28,342,270,47,317,25,131,61,67,128,3,46,22,23,45,1,93,85,8
KS-503,Topeka/Shawnee County CoC,341,206,110,316,25,199,110,64,174,25,142,96,46,142,0,51,37,14,51,0,31,22,9
